Id_Instal,distance_m,Nom_Carrer,Num_Carrer,Nom_Barri,Nom_Districte,Font,has_measurements,Latitud,Longitud,idTram,Descripció
2206,71.2,Sant Antoni Maria Claret,373.0,la Sagrera,Sant Andreu,TRÀNSIT,False,41.421297,2.187865,324.0,Meridiana (Felip II a Fabra i Puig)
7086,72.2,Rec,38.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384863,2.183054,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
6833,72.2,Rec,38.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384863,2.183054,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
7626,72.2,Rec,38.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384863,2.183054,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
8306,72.2,Rec,38.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384863,2.183054,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
4890,72.4,Olles,4.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.383731,2.183129,294.0,Av. Marqués de l'Argentera (Passeig de Picasso a Pl. Antonio López)
3786,72.8,Xifré,94.0,el Camp de l'Arpa del Clot,Sant Martí,TRÀNSIT,False,41.410968,2.180888,249.0,Freser - Passeig Maragall (Rosselló a Indústria)
3507,73.5,Sol,22.0,la Vila de Gràcia,Gràcia,OCI,False,41.401432,2.156613,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
7767,73.7,Santes Creus,8.0,Horta,Horta-Guinardó,OCI,True,41.430237,2.162216,230.0,Pg. Maragall (Av. Borbó a Tajo)
7126,73.7,Santes Creus,8.0,Horta,Horta-Guinardó,OCI,False,41.430237,2.162216,230.0,Pg. Maragall (Av. Borbó a Tajo)
4887,73.7,Santes Creus,8.0,Horta,Horta-Guinardó,OCI,False,41.430237,2.162216,230.0,Pg. Maragall (Av. Borbó a Tajo)
8989,74.7,Rec,44.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,True,41.384688,2.183244,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
8990,74.7,Rec,44.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384688,2.183244,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
7967,75.5,Selva de Mar,49.0,Provençals del Poblenou,Sant Martí,ZONA DE VIANANTS,False,41.40929,2.207287,482.0,Pallars (Bac de Roda a Josep Pla)
516,75.7,Comte de Güell,36.0,la Maternitat i Sant Ramon,Les Corts,TRÀNSIT,False,41.377774,2.122523,33.0,Riera Blanca (Sants a Travessera de les Corts)
1522,78.2,Castor,4.0,la Guineueta,Nou Barris,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES,False,41.442066,2.17034,503.0,Ronda de Dalt (Pl. Karl Marx a Via Júlia)
886,78.2,Castor,4.0,la Guineueta,Nou Barris,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES,False,41.442066,2.17034,503.0,Ronda de Dalt (Pl. Karl Marx a Via Júlia)
1820,78.2,Castor,4.0,la Guineueta,Nou Barris,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES,False,41.442066,2.17034,503.0,Ronda de Dalt (Pl. Karl Marx a Via Júlia)
1814,78.2,Castor,4.0,la Guineueta,Nou Barris,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES,False,41.442066,2.17034,503.0,Ronda de Dalt (Pl. Karl Marx a Via Júlia)
1517,78.3,Nou de la Rambla,122.0,el Poble-sec,Sants-Montjuïc,OCI,False,41.374193,2.169111,169.0,Paral.lel (Josep Carner a Ronda de Sant Pau)
2596,78.9,Segre,123.0,Sant Andreu,Sant Andreu,TRÀNSIT,False,41.430954,2.19481,335.0,Josep Soldevila (Onze de Setembre a Sant Adrià)
1812,78.9,Segre,123.0,Sant Andreu,Sant Andreu,NETEJA,False,41.430954,2.19481,335.0,Josep Soldevila (Onze de Setembre a Sant Adrià)
6687,80.2,Allada-Vermell,16.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,True,41.386615,2.181147,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
6890,80.2,Allada-Vermell,16.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.386615,2.181147,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
