Id_Instal,Codi_Carrer,Tipus_Via,Nom_Carrer,Num_Carrer,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,Latitud,Longitud,Data_Instalacio,Data_DesInstalacio,Font
10026,246000,C,Parlament,25,10,Sant Antoni,02,Eixample,41.376425,2.162424,30/01/2025,,OCI
10046,156509,C,Hondures,23,61,la Sagrera,09,Sant Andreu,41.419327,2.190482,05/02/2025,11/02/2025,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES
10066,122904,C,Ferran,7,02,el Barri Gòtic,01,Ciutat Vella,41.380662,2.174525,05/02/2025,15/05/2025,OCI
10086,124706,C,Ferrocarrils Catalans,6,13,la Marina de Port,03,Sants-Montjuïc,41.360379,2.144355,11/02/2025,29/01/2026,TRÀNSIT
10106,155801,C,Ferro,2,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.351048,2.139043,11/02/2025,,TRÀNSIT
10107,151800,C,de Guatemala,2,65,el Clot,10,Sant Martí,41.408892,2.193465,11/02/2025,,TRÀNSIT
10127,156509,C,Hondures,23,61,la Sagrera,09,Sant Andreu,41.419327,2.190482,13/02/2025,13/05/2025,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES
10166,169409,G.V.,Corts Catalanes,605,07,la Dreta de l'Eixample,02,Eixample,41.388778,2.167271,11/03/2025,15/12/2025,TRÀNSIT
10206,701322,C,de Martin Luther King,,60,Sant Andreu,09,Sant Andreu,41.440129,2.193858,27/03/2025,07/04/2025,ZONA DE VIANANTS
10207,15052,C,Andana de l'Estació,3,60,Sant Andreu,09,Sant Andreu,41.441308,2.193772,27/03/2025,,ZONA DE VIANANTS
10226,701322,C,de Martin Luther King,,60,Sant Andreu,09,Sant Andreu,41.440129,2.193858,07/04/2025,,ZONA DE VIANANTS
10227,116107,Pl,Estació,,60,Sant Andreu,09,Sant Andreu,41.435728,2.193741,07/04/2025,,ZONA DE VIANANTS
10247,46409,Pg,Born,25,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.385209,2.182997,15/04/2025,05/05/2025,OCI
10266,158901,Pl,Osca,10,18,Sants,03,Sants-Montjuïc,41.376152,2.138468,15/04/2025,09/05/2025,OCI
10286,50009,C,Bruniquer,45,31,la Vila de Gràcia,06,Gràcia,41.405336,2.161687,24/04/2025,28/10/2025,OCI
10306,326904,Pl,Sol,2,31,la Vila de Gràcia,06,Gràcia,41.401519,2.156851,28/04/2025,26/06/2025,OCI
10326,110304,C,Enric Granados,30,08,l'Antiga Esquerra de l'Eixample,02,Eixample,41.390261,2.159181,28/04/2025,26/06/2025,OCI
10327,243206,C,Pamplona,84,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.396549,2.191778,29/04/2025,,OCI
10346,46409,Pg,Born,25,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.385209,2.182997,05/05/2025,29/01/2026,OCI
10366,169409,G.V.,Corts Catalanes,848,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.403658,2.187972,05/05/2025,,ZONA DE VIANANTS
10367,169409,G.V.,Corts Catalanes,846,05,el Fort Pienc,02,Eixample,41.402595,2.185843,05/05/2025,,ZONA DE VIANANTS
10368,46409,Pg,Born,19,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.384923,2.182772,05/05/2025,,OCI
10369,2902,C,de n'Aglà,3,02,el Barri Gòtic,01,Ciutat Vella,41.380176,2.17638,05/05/2025,,OCI
10386,158901,Pl,Osca,10,18,Sants,03,Sants-Montjuïc,41.376152,2.138468,09/05/2025,15/05/2025,OCI
10387,360200,C,Vidre,3,02,el Barri Gòtic,01,Ciutat Vella,41.379894,2.176011,09/05/2025,,OCI
10406,158901,Pl,Osca,10,18,Sants,03,Sants-Montjuïc,41.376152,2.138468,15/05/2025,15/12/2025,OCI
10426,352507,Pg,Vall d'Hebron,93,39,Sant Genís dels Agudells,07,Horta-Guinardó,41.421563,2.140491,15/05/2025,,TRÀNSIT
10446,94300,C,Cristóbal de Moura,207,70,el Besòs i el Maresme,10,Sant Martí,41.415173,2.211689,18/05/2025,,TRÀNSIT
10466,230601,C,Mare de Déu de Port,101,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.352015,2.152321,02/06/2025,30/10/2025,INFRAESTRUCTURES FERROVIÀRIES
